2025-03-11 16:01:11,319 - INFO - utils.py:65 - cleanup_logs - 已删除旧的日志文件: log\log_2025-02-28_08-55-03.txt
2025-03-11 16:01:15,823 - INFO - downloader.py:98 - set_mirror_source - 已切换到镜像源: 中国镜像
2025-03-11 16:01:23,379 - INFO - downloader.py:218 - search_baozimh - 搜索漫画: 海贼王
2025-03-11 16:01:24,386 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海贼王, URL: https://cn.bzmanga.com/comic/haizeiwang-weitianrongyilang
2025-03-11 16:01:24,386 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海贼王yellow, URL: https://cn.bzmanga.com/comic/haizeiwangyellow-weitianrongyilang
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海贼王 艾斯, URL: https://cn.bzmanga.com/comic/haizeiwangaisi-boichi
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海贼王学院, URL: https://cn.bzmanga.com/comic/haizeiwangxueyuan-xiaoluzhuangping
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海贼王谈恋爱, URL: https://cn.bzmanga.com/comic/haizeiwangtanlianai-yiyuandagui
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 乌贼ichabod日更计划, URL: https://cn.bzmanga.com/comic/wuzeiichabodrigengjihua-wuzeiichabod
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 北海道辣妹贼拉可爱, URL: https://cn.bzmanga.com/comic/beihaidaolameizeilakeai-yiketianhai
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海贼王20周年杂志OPMagazine, URL: https://cn.bzmanga.com/comic/haizeiwang20zhounianzazhiopmagazine-weitianrongyilang
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 和乌塔一起看TV海贼王, URL: https://cn.bzmanga.com/comic/hewutayiqikantvhaizeiwang-lanniao
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 盗贼王JING, URL: https://cn.bzmanga.com/comic/daozeiwangjing-xiongcangyuyi
2025-03-11 16:01:24,387 - DEBUG - downloader.py:237 - search_baozimh - 找到漫画: 海王, URL: https://cn.bzmanga.com/comic/haiwang-shitudongman
